Time (s)	Velocity (mph)
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0.1242742
13	1.0563307
14	3.3554034
15	6.1515729
16	8.1399601
17	10.5011699
18	13.4837507
19	16.155646
20	17.0877025
21	17.4605251
22	17.5847993
23	17.8954848
24	18.0818961
25	19.1382268
26	19.8217349
27	21.1887511
28	22.7421786
29	24.2956061
30	25.6626223
31	26.4082675
32	26.9053643
33	27.2781869
34	27.5888724
35	27.6510095
36	27.4645982
37	26.5325417
38	24.7927029
39	22.990727
40	21.4994366
41	20.0702833
42	18.019759
43	15.5964121
44	13.7944362
45	12.9866539
46	12.6759684
47	12.1167345
48	11.4332264
49	11.0604038
50	11.0604038
51	10.8118554
52	9.7555247
53	8.1399601
54	7.5185891
55	7.456452
56	7.456452
57	7.456452
58	7.6428633
59	7.8292746
60	9.1341537
61	9.5069763
62	9.8797989
63	10.0662102
64	10.6254441
65	11.0604038
66	11.2468151
67	11.4332264
68	12.6138313
69	14.4158072
70	16.4663315
71	18.5168558
72	20.2566946
73	21.3751624
74	22.0586705
75	22.6179044
76	23.2392754
77	23.9227835
78	24.4198803
79	24.5441545
80	24.233469
81	23.9227835
82	23.1771383
83	22.990727
84	22.8043157
85	22.3072189
86	21.9343963
87	21.4994366
88	21.2508882
89	19.8217349
90	16.9634283
91	13.670162
92	10.563307
93	8.8234682
94	7.456452
95	5.6544761
96	3.6039518
97	2.2369356
98	1.3670162
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0.1242742
139	1.1806049
140	3.7903631
141	7.2700407
142	10.1904844
143	11.7439119
144	12.3652829
145	12.9245168
146	14.1672588
147	15.7828234
148	17.2119767
149	18.1440332
150	18.5168558
151	18.2683074
152	16.9012912
153	14.0429846
154	10.7497183
155	8.2642343
156	7.456452
157	7.8292746
158	8.7613311
159	10.6875812
160	12.4895571
161	14.5400814
162	15.8449605
163	17.1498396
164	18.3304445
165	19.3246381
166	19.9460091
167	20.6295172
168	21.8722592
169	23.1150012
170	23.612098
171	23.2392754
172	21.8101221
173	19.262501
174	16.8391541
175	15.7206863
176	15.5964121
177	16.0935089
178	17.2741138
179	18.1440332
180	18.3925816
181	18.3304445
182	18.1440332
183	17.5847993
184	16.2177831
185	14.6643556
186	13.048791
187	11.7439119
188	10.6254441
189	9.7555247
190	9.0098795
191	8.5127827
192	8.0156859
193	7.7671375
194	7.5807262
195	7.456452
196	7.456452
197	7.456452
198	7.456452
199	7.7671375
200	8.077823
201	8.699194
202	9.320565
203	10.2526215
204	11.806049
205	13.1730652
206	14.7886298
207	16.7148799
208	18.3925816
209	19.883872
210	21.8722592
211	23.3014125
212	24.3577432
213	25.1655255
214	25.8490336
215	26.7810901
216	27.961695
217	29.2665741
218	30.447179
219	31.4413726
220	32.1870178
221	32.7462517
222	32.9948001
223	33.2433485
224	33.4297598
225	33.6783082
226	34.0511308
227	34.3618163
228	34.6725018
229	34.9210502
230	35.1074615
231	35.1074615
232	34.9210502
233	34.1132679
234	32.8705259
235	31.689921
236	30.9442758
237	30.5714532
238	30.0743564
239	29.1422999
240	27.5267353
241	25.7868965
242	24.5441545
243	22.990727
244	21.4994366
245	20.0702833
246	18.019759
247	15.5964121
248	13.7944362
249	12.9866539
250	12.6759684
251	12.1167345
252	11.4332264
253	11.0604038
254	11.0604038
255	10.8118554
256	9.7555247
257	9.0098795
258	9.5691134
259	11.1225409
260	12.8002426
261	14.4158072
262	15.9692347
263	17.8333477
264	20.1945575
265	22.4314931
266	24.233469
267	25.3519368
268	26.6568159
269	27.5888724
270	28.5209289
271	28.583066
272	28.3345176
273	28.1481063
274	27.1539127
275	25.3519368
276	23.612098
277	21.3751624
278	19.2003639
279	15.8449605
280	13.2973394
281	12.5516942
282	14.2293959
283	16.5284686
284	18.7654042
285	21.1887511
286	23.2392754
287	25.2897997
288	27.340324
289	29.3908483
290	30.5714532
291	30.9442758
292	30.5714532
293	29.8879451
